id,tweet_id,retweet_count,tweet_created,tweet_location,text,airline,airline_sentiment
7441,569604208661410000,0,2015-02-22 13:06:40 -0800,Long Island - Arizona ,@JetBlue You left 175 PEOPLE on a hot plane with no ventilation for over an hour and a half and then had to bus them to JFK because of ....,Delta,-1
8226,568588797182648000,0,2015-02-19 17:51:47 -0800,Miami | Puerto Rico ,@JetBlue that's what they told me half an hour ago,Delta,-1
9007,570288667790594000,0,2015-02-24 10:26:28 -0800,Saratoga Springs,"@USAirways after being assured by the pleasant woman at gate B11 in Albany, NY that life's not perfect, I'd heard enough.",US Airways,-1
7708,569329921740427000,0,2015-02-21 18:56:45 -0800,"ÜT: 33.724561,-84.565845",@JetBlue she did. she's still waiting on a callback....the lack of follow through is what's concerning. smh,Delta,-1
11154,568474546275287000,0,2015-02-19 10:17:48 -0800,"Liverpool, UK","@USAirways Stuck in Philadelphia airport for 32 hours due to ""maintenance"". Dreading my flight back home. Disgusting.",US Airways,-1
8470,568220169803325000,0,2015-02-18 17:27:00 -0800,,"@JetBlue 1472, FLL to LGA. This is getting old. 4th @JetBlue flight in 2.5 weeks, 4th significant delay.",Delta,-1
9809,569656088817234000,1,2015-02-22 16:32:49 -0800,Philly Area,@USAirways You suck in Philadelphia.  Let us off this plane! #phl,US Airways,-1
12855,569999640516370000,0,2015-02-23 15:17:59 -0800,"Lake County, Illinois",@AmericanAir I've never had anything bad to say until now. No love for faithful customers.,American,-1
448,567971836321010000,0,2015-02-18 01:00:12 -0800,,"@VirginAmerica All of group E was told there was no more room in the bins. when I got on the plane, was room for at least 4 bags in my row!",Virgin America,-1
7263,569716857869107000,0,2015-02-22 20:34:18 -0800,OP NY,"@JetBlue 2 words: ""staff training."" What a joke-",Delta,-1
11301,568226977070633000,0,2015-02-18 17:54:03 -0800,,@USAirways Emailed them a week ago and still nothing...,US Airways,-1
13043,569952945028108000,0,2015-02-23 12:12:25 -0800,my top secret gaming facility,"@AmericanAir hey ho its not me losing any money (only you) just next make sure you stick to the ""flyers right's booklet""",American,-1
4695,569924965446726000,0,2015-02-23 10:21:15 -0800,The AZ Desert,@SouthwestAir nice touch on the passbook integration!,Southwest,1
